long_url;short_url
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0015&p_version=2;https://da.gd/3JCBzp
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0016&p_version=2;https://da.gd/3LWajm
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0017&p_version=2;https://da.gd/0eMNg
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0018&p_version=2;https://da.gd/063XG
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0019&p_version=2;https://da.gd/eVaKml
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0020&p_version=2;https://da.gd/CwJ5B
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0021&p_version=2;https://da.gd/kJpp
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0022&p_version=2;https://da.gd/GTfPQ
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0023&p_version=2;https://da.gd/WhGF3T
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0024&p_version=2;https://da.gd/BH62Pb
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0025&p_version=2;https://da.gd/uzmjV
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0026&p_version=2;https://da.gd/7gLkJW
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0027&p_version=2;https://da.gd/gzfrM0
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0028&p_version=2;https://da.gd/1MWM9e
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0029&p_version=2;https://da.gd/YyJh4Q
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0030&p_version=2;https://da.gd/NT1P6
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0031&p_version=2;https://da.gd/ty0bpj
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0032&p_version=2;https://da.gd/Bcka
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0033&p_version=2;https://da.gd/5K9v7
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0034&p_version=2;https://da.gd/JlMATl
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0035&p_version=2;https://da.gd/9GLGiJ
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0036&p_version=2;https://da.gd/N8L4oO
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0037&p_version=2;https://da.gd/ozpD5
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0038&p_version=2;https://da.gd/K0Vq1
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0039&p_version=2;https://da.gd/PcJ30
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0040&p_version=2;https://da.gd/HCx5Ps
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0041&p_version=2;https://da.gd/T07CRJ
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0042&p_version=2;https://da.gd/514Pz
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0043&p_version=2;https://da.gd/zPQZEp
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0044&p_version=2;https://da.gd/D8Xno
